transaction_id,sender,receiver,amount,currency,country,channel,status,timestamp
TXN_9057147,Agnes Adetokunbo,Gabriel Abiola,11314413.87,ZAR,South Africa,mobile money,success,2025-09-14
TXN_6477287,Comfort Ogunleye,Simon Adeyemi,13813982.53,ZAR,South Africa,mobile money,success,2026-06-04
TXN_4125982,Charity Nnamani,Nathaniel Ojo,17389862.91,ZAR,South Africa,card,failed,2025-12-09
TXN_5529322,David Ekwueme,Joy Nnamani,9308266.02,KES,Kenya,card,success,2026-03-27
TXN_1147609,Blessing Ibrahim,Gloria Ogunleye,11522643.45,NGN,Nigeria,bank transfer,pending,2026-01-23
TXN_6038189,Paul Adetokunbo,Emmanuel Uche,16259447.07,GHS,Ghana,mobile money,failed,2025-10-30
TXN_8655746,Joy Okafor,Deborah Ibrahim,13733380.35,KES,Kenya,bank transfer,pending,2025-09-19
TXN_7816051,Emmanuel Abiola,Cornelius Chukwu,6091434.83,ZAR,South Africa,bank transfer,failed,2026-05-05
TXN_9089009,Peter Obasanjo,Michael Adetokunbo,15495981.5,KES,Kenya,mobile money,success,2025-06-18
TXN_6923977,Cornelius Oshodi,Joy Ojo,8877375.54,NGN,Nigeria,card,pending,2025-11-16
TXN_5522232,Patience Ekwueme,Faith Uche,7062015.69,USD,United States,bank transfer,failed,2026-05-27
TXN_9648945,Ruth Obi,Esther Chukwu,5108096.05,KES,Kenya,card,success,2026-03-16
TXN_5859480,Simon Uche,Paul Okafor,10119962.51,ZAR,South Africa,card,success,2026-06-14
TXN_1785857,Mark Okafor,Michael Okonkwo,6618381.94,USD,United States,bank transfer,failed,2025-02-22
TXN_6215766,Samuel Okonkwo,Elizabeth Okonkwo,15486261.45,USD,United States,bank transfer,pending,2026-04-06
TXN_8310290,Peace Eze,Philip Okafor,2188471.9,NGN,Nigeria,bank transfer,failed,2026-03-27
TXN_7861329,Cornelius Balogun,Grace Oyekan,10997170.54,GHS,Ghana,bank transfer,success,2024-09-23
TXN_7360473,Victoria Ekwueme,Faith Obi,3534622.83,KES,Kenya,card,success,2026-03-04
TXN_9873341,Ruth Ekwueme,Stephen Okafor,19943537.52,USD,United States,card,failed,2025-01-03
TXN_2244981,Philip Akinwale,Deborah Chukwu,19967941.38,ZAR,South Africa,card,failed,2026-05-09
TXN_6329451,Victoria Olawale,David Ojo,4265684.5,KES,Kenya,mobile money,success,2026-08-23
TXN_6709423,Comfort Obasanjo,Sarah Ojo,8676799.69,KES,Kenya,bank transfer,success,2025-07-17
TXN_3737860,David Chukwu,Samuel Obasanjo,4852632.34,GHS,Ghana,card,pending,2026-04-07
TXN_5634558,Benjamin Olawale,Cornelius Adeyemi,19977046.25,NGN,Nigeria,mobile money,pending,2025-10-14
TXN_6735755,James Adeyemi,Agnes Abiola,8309324.66,KES,Kenya,card,pending,2024-08-29
TXN_8314739,Emmanuel Olawale,Esther Oyekan,3299022.93,ZAR,South Africa,mobile money,pending,2024-09-12
TXN_7163160,Blessing Adetokunbo,Cornelius Akinwale,8448574.36,KES,Kenya,bank transfer,pending,2025-07-10
TXN_7870736,Gabriel Adeyemi,Stephen Uche,5761097.96,NGN,Nigeria,mobile money,failed,2025-07-20
TXN_4563826,Patience Okafor,Gloria Ekwueme,3519351.74,ZAR,South Africa,bank transfer,failed,2025-11-24
TXN_5840783,Elizabeth Abiola,Elizabeth Ojo,18816753.57,GHS,Ghana,mobile money,success,2026-06-17
TXN_3129743,Samuel Adeyemi,Grace Okafor,1912681.91,NGN,Nigeria,bank transfer,pending,2025-04-27
TXN_6355784,Mary Eze,Victoria Ogunleye,12777747.71,USD,United States,mobile money,success,2026-07-31
TXN_1654730,James Obasanjo,Faith Oyekan,5635131.62,USD,United States,mobile money,failed,2025-03-04
TXN_2676409,Andrew Ibrahim,Peace Uche,6891352.88,NGN,Nigeria,mobile money,failed,2024-12-08
TXN_5240706,Comfort Adetokunbo,Michael Ibrahim,15410945.44,ZAR,South Africa,mobile money,pending,2025-11-23
TXN_9495311,Peace Nnamani,Andrew Ibrahim,17515052.17,GHS,Ghana,card,pending,2024-10-23
TXN_9031914,John Balogun,Ruth Adeyemi,3643172.45,NGN,Nigeria,mobile money,success,2025-10-14
TXN_2643723,Gabriel Oyekan,Victoria Ibrahim,3742843.46,GHS,Ghana,bank transfer,success,2026-05-21
TXN_5784417,Peter Adeyemi,Blessing Balogun,19150252.64,USD,United States,mobile money,pending,2025-09-26
TXN_7853323,Gabriel Okafor,Angela Nnamani,14814747.05,KES,Kenya,mobile money,failed,2024-10-11
TXN_2629816,Juliet Ibrahim,Victoria Ogunleye,12239732.24,ZAR,South Africa,card,success,2024-08-31
TXN_2393426,Benjamin Obasanjo,Joseph Obasanjo,5491134.61,KES,Kenya,card,pending,2025-08-25
TXN_3329102,Paul Okafor,Philip Balogun,19804207.19,GHS,Ghana,mobile money,success,2026-03-08
TXN_7634999,Emmanuel Okafor,Joseph Ojo,16648081.88,KES,Kenya,card,failed,2025-10-03
TXN_4587654,Emmanuel Chukwu,Hope Obasanjo,2162690.63,NGN,Nigeria,mobile money,pending,2026-01-13
TXN_4578977,Blessing Akinwale,Mary Nnamani,9031546.75,KES,Kenya,mobile money,pending,2025-06-16
TXN_9350482,Gabriel Abiola,David Obi,11532932.06,ZAR,South Africa,mobile money,failed,2025-12-09
TXN_5186544,Deborah Okafor,Deborah Ogunleye,16554293.62,GHS,Ghana,bank transfer,failed,2026-06-16
TXN_1227571,Michael Adetokunbo,Patience Okonkwo,17932126.39,USD,United States,card,success,2024-10-08
TXN_8107250,Esther Ojo,Mark Akinwale,5409088.07,ZAR,South Africa,mobile money,pending,2026-01-17
TXN_4056032,John Ekwueme,Charity Okonkwo,15331716.61,ZAR,South Africa,bank transfer,failed,2025-12-26
TXN_9755312,Mary Adetokunbo,David Adeyemi,2389495.08,ZAR,South Africa,bank transfer,success,2025-08-20
TXN_8023649,Joseph Obi,Grace Ekwueme,5094220.21,ZAR,South Africa,card,failed,2025-01-17
TXN_5823438,Cornelius Adetokunbo,Deborah Balogun,19490434.39,KES,Kenya,mobile money,failed,2025-05-09
TXN_4850670,Sarah Adetokunbo,Gabriel Obi,9126886.28,USD,United States,bank transfer,failed,2026-01-21
TXN_3559018,Patience Ekwueme,Cornelius Ogunleye,6005065.02,NGN,Nigeria,card,success,2024-09-08
TXN_5921746,Gloria Okonkwo,Peace Oyekan,10263725.95,NGN,Nigeria,card,pending,2025-09-18
TXN_7824948,Juliet Balogun,Daniel Uche,2707939.99,KES,Kenya,mobile money,failed,2025-05-23
TXN_2423710,Elizabeth Uche,Hope Chukwu,12630828.22,GHS,Ghana,bank transfer,failed,2024-09-28
TXN_4591863,Patience Okonkwo,Esther Olawale,17515269.48,KES,Kenya,card,success,2025-03-03
TXN_2322732,Daniel Eze,Cornelius Obi,11956122.17,NGN,Nigeria,card,pending,2025-05-16
TXN_8004774,Ruth Oyekan,James Balogun,1452253.69,KES,Kenya,mobile money,failed,2025-02-07
TXN_4784200,Peter Obasanjo,Stephen Ogunleye,5611365.59,GHS,Ghana,mobile money,failed,2026-08-15
TXN_5526811,David Akinwale,Patience Adetokunbo,6754009.01,GHS,Ghana,card,success,2025-08-01
TXN_2548538,Comfort Adetokunbo,Mary Abiola,11784497.87,GHS,Ghana,card,pending,2024-09-02
TXN_2125635,Charity Obi,Hope Ogunleye,1967038.25,NGN,Nigeria,bank transfer,success,2026-06-11
TXN_6975325,Mary Obasanjo,Gabriel Ekwueme,1969403.41,KES,Kenya,mobile money,failed,2025-08-13
TXN_8476905,Peter Ekwueme,Ruth Ekwueme,3765085.01,ZAR,South Africa,card,failed,2024-09-01
TXN_2737196,Peter Chukwu,Comfort Oshodi,4549305.94,ZAR,South Africa,bank transfer,success,2025-03-15
TXN_4677483,Elizabeth Ekwueme,Michael Abiola,4792485.55,NGN,Nigeria,mobile money,success,2025-03-19
TXN_5831507,Paul Ojo,Philip Oyekan,7525232.01,KES,Kenya,mobile money,failed,2024-11-27
TXN_4715143,Victoria Okafor,Elizabeth Uche,19399651.35,GHS,Ghana,bank transfer,success,2024-09-29
TXN_3093655,Faith Oshodi,Gabriel Obi,4870319.26,NGN,Nigeria,bank transfer,pending,2024-11-03
TXN_7113626,Mary Chukwu,Joseph Oyekan,8838869.81,USD,United States,bank transfer,failed,2026-02-21
TXN_9738039,Esther Uche,Joshua Ogunleye,16829046.56,GHS,Ghana,mobile money,pending,2025-12-03
TXN_2961567,Emmanuel Chukwu,Elizabeth Ogunleye,17437929.83,ZAR,South Africa,bank transfer,failed,2024-09-26
TXN_3555208,Simon Uche,Daniel Uche,8004107.27,KES,Kenya,card,success,2024-11-04
TXN_5691845,Peace Adeyemi,Patience Ogunleye,13692885.93,USD,United States,card,success,2026-07-26
TXN_9544477,Peace Adeyemi,Peace Akinwale,12331350.46,ZAR,South Africa,mobile money,success,2026-08-22
TXN_8879950,Mark Uche,Comfort Adeyemi,18516140.28,USD,United States,bank transfer,failed,2026-03-29
TXN_6953905,Cornelius Uche,Blessing Oyekan,18218426.14,NGN,Nigeria,card,pending,2026-04-27
TXN_2883465,Comfort Oshodi,Charity Akinwale,18531556.29,USD,United States,mobile money,pending,2026-04-24
TXN_8501568,Blessing Uche,Elizabeth Obi,4149104.48,NGN,Nigeria,mobile money,failed,2024-11-27
TXN_4436998,Patience Adetokunbo,Samuel Ogunleye,5789833.36,NGN,Nigeria,card,pending,2024-12-27
TXN_7392670,Daniel Balogun,Paul Obi,138786.06,KES,Kenya,card,success,2026-02-25
TXN_7224735,Angela Oshodi,Hope Olawale,16447407.06,USD,United States,card,failed,2026-05-16
TXN_3969547,Blessing Akinwale,Mary Uche,12406467.66,ZAR,South Africa,bank transfer,success,2025-11-23
TXN_5734922,Paul Okafor,Cornelius Uche,19555544.68,GHS,Ghana,bank transfer,pending,2026-01-13
TXN_6301911,Gabriel Okonkwo,Faith Oshodi,3665332.66,NGN,Nigeria,mobile money,pending,2026-06-14
TXN_8077520,Mark Adeyemi,Grace Okonkwo,14712563.56,NGN,Nigeria,card,success,2024-11-20
TXN_1523635,Angela Akinwale,Elizabeth Okonkwo,775580.71,NGN,Nigeria,mobile money,pending,2024-12-05
TXN_1643834,Peter Ekwueme,Juliet Okafor,16156008.29,USD,United States,mobile money,success,2026-06-21
TXN_7714709,Daniel Olawale,Paul Akinwale,16158146.29,GHS,Ghana,mobile money,pending,2026-01-11
TXN_5753550,Elizabeth Obasanjo,Joy Ekwueme,18976826.05,ZAR,South Africa,mobile money,success,2024-11-28
TXN_7416254,Victoria Ibrahim,Sarah Adetokunbo,12961564.62,GHS,Ghana,card,failed,2026-03-24
TXN_5035835,David Adeyemi,Mary Olawale,2587982.29,USD,United States,bank transfer,failed,2024-09-21
TXN_4708172,John Ogunleye,Angela Okafor,18584862.18,ZAR,South Africa,bank transfer,success,2024-10-14
TXN_9713896,James Ojo,Juliet Obi,15323369.72,USD,United States,bank transfer,pending,2025-09-15
TXN_8972354,Mary Obi,Samuel Akinwale,15337824.2,USD,United States,mobile money,failed,2026-04-23
TXN_7135850,Joseph Oshodi,David Chukwu,3918416.24,NGN,Nigeria,mobile money,success,2026-06-25
TXN_5303971,Andrew Balogun,Peace Uche,16203594.59,USD,United States,bank transfer,failed,2026-04-26
TXN_3148778,Joseph Balogun,Stephen Oshodi,12577645.93,USD,United States,card,success,2024-10-10
